freq,tra_infr,unit,geo\TIME_PERIOD	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MWAY,KM,SE	403 	441 	547 	607 	642 	692 	715 	745 	766 	809 	809 	825 	865 	859 	898 	901 	901 	901 	926 	929 	939 	968 	1005 	1061 	1125 	1262 	1350 	1423 	1439 	1484 	1499 	1507 	1544 	1591 	1684 	1677 	1744 	1836 	1857 	1923 	1971 	1957 	2004 	2044 	2088 	2119 	2118 	2132 	2132 	2133 	2179 	2185 	2193 
A,MWAY,KM,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	228 	246 	246 	254 	268 	277 	310 	331 	369 	382 	382 	435 	456 	478 	483 	569 	579 	578 	567.294 	605.201 	606.639 	606.639 	606.689 	607.026 	607.030 	610.373 	610.373 	617.620 	623.310 	623.310 	616.110 	616.111 	616.023 
A,MWAY,KM,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	192 	198 	198 	198 	198 	198 	215 	218.9 	292 	295 	295.7 	296.4 	301.6 	312.8 	316.2 	327.5 	327.5 	364.5 	384 	391 	415.7 	419.2 	419.2 	419.800 	419.700 	463.100 	463.200 	482.300 	482.300 	495.300 	818.200 	849 	861.200 
A,MWAY,KM,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	281 	387 	757 	1070 	1167 	1246 	1405 	1560 	1726 	: 	1674 	1696 	1714 	1753 	1662 	1667 	1908 	1908 	1922 	2036 	2080 	2119 	2127 	2244 	2278 	2282 	2542 	2657 	2842 	3060 	3523 	3532 	3633 
A,MWAY,KM,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	164000 	163988 	164228 	: 	: 
A,MWAY,KM,UK	1133 d	: 	: 	: 	: 	2082 d	: 	: 	: 	2578 	2694 d	2748 	2765 	2822 	2895 	2951 d	3038 	3092 	3104 	3093 d	3181 d	3211 d	3246 	3323.92 	3360.16 	3379.81 	3408.29 	3490.59 	3534.95 	3563.64 	3580.89 	3590.69 	3592.09 	3592.09 	3637.99 	3632.69 	3669.64 	3673.64 d	3672.81 	3673.91 	3671.81 	3685.7 d	3732.52 	3756.020 e	3759.620 e	3768.430 e	3764.330 	3803.100 	3837.900 	: 	: 	3851 	3859 
A,MWAY,KM,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	109 	119 	137 	: 	137 	137 
A,RD_EUR,KM,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,RD_EUR,KM,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5403 	: 	: 	2485 	2229 	2229 	2235 	2247 	2250 	2250 	2244 	2244 	2244 	2246 	2242 	2236 	2235 	2250 	2236 	2242 	2242 	2248 	2248 	2248 	2248 	2249 	2250 	2250 	2250 	2250 	2251 	2250 	2786 
A,RD_EUR,KM,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	547 	: 	: 	: 	547 	547 	580 	581 	581 	587 
A,RD_EUR,KM,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	142300 	141629 	142430 	143175 	143800 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,RD_EUR,KM,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2977 	2899 	2899 	2926 	2926 	2953 	2953 	2981 	2984 	2987 	2904 	2904 
A,RD_EUR,KM,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1390 	1390 	1390 	1390 	1390 	: 	: 	1383 	1381 	1380 	1380 	1391 	1391 	1391 	1391 	1466 	1466 	1466 	1466 	1466 	1466 	1466 	1466 	1466 e	1466 	: z	: 	: 	: 	: 	1399 	1399 e	1399 e
A,RD_EUR,KM,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,RD_EUR,KM,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2655 	2607 	2655 	2655 	2655 	2655 	2655 	2599.2 	2601.2 	2599.4 	2599 	2601 	2601 	2599 	2595 	2604 	2603 	2636 	2634 	2634 	2632 	2628 	2628 	2627.910 	2631 	2630 	2629 	2630 	2629 	2631 
A,RD_EUR,KM,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10446 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,RD_EUR,KM,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1007 	995 	980 	916 	913 	933 	935 	927 	941 	959 	: 	: 	: 	: 	: 	936 	936 	: 	: 	936 	943 	943 	944 	945 	945 	945 	945 	945 	948 	948 	948 
A,RD_EUR,KM,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	199 	199 	199 	198 	: 	: 	426.6 	426.6 	426.6 	426.6 	426.6 	426.6 	426.6 	: 	: 	: 	: 	: 	: 	995 	995 	995 	995 	995 	953 	953 	953 	953 	953 	950 	950 	947 
A,RD_EUR,KM,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 
A,RD_EUR,KM,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3597 	3627 	3624 	3621 	3664 	3664 	3657 	3657 	3662 	3623 	4241 	4241 	4266 	4266 	4267 	4279 	4279 	4279 	4283 	4176 	4170 	4212 	4210 	4216 	4286 	4286 	4286 	4348 	4351 	4296 	4295 	: 
A,RD_EUR,KM,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13218 	13218 	13218 	13218 	13218 	13175 	13175 	13175 	13175 	13175 	12797 	12797 	12797 	12797 	: 	: 	: 	: 
A,RD_EUR,KM,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2077 	1994 	1366 	2049 	2049 	2153 	2153 	2153 	2154 	2100 	1948 	2268 	2037 	2037 	2037 	2037 	2049 	2256 	2256 	2251 	2238 	2250 	2251 	2200 	2251 	2251 	2251 	2255 	2255 	2255 	2255 	2242 	2447 
A,RD_EUR,KM,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2072 	2072 	2072 	2001 	2001 	2001 	2001 	2058 	2049 	2054 	2048 	2015 	2101 	2115 	2133 	2195 	2237.8 	2240 	2254.3 	2253.6 	2331.5 	2351.800 	2345.300 	2348.200 	2338.900 	2334.660 	2332.210 	2470.500 	2447.420 	2481.210 	2481.210 
A,RD_EUR,KM,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	791 	791 	791 	: 	: 	794 	794 	823 	823 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,RD_EUR,KM,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 s
A,RD_EUR,KM,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5837 d	: 	5837 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,RD_EUR,KM,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,RD_EUR,KM,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	675 	675 	916 	1487 	1490 	1490 	1519 	1496 	1670 	1670 	1649 	1649 	1649 	1650 	1643 	1642 	1642 	1639 	1639 	1639 	1639 	1639 	1639 	1742 	1742 	1742 	1742 
A,RD_EUR,KM,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	202 	202 	202 	202 	202 	202 	202 	202 	202 	202 	202 	202 	202 	202 	202 	202 	202 	202 	1225 	1225 	1225 	1225 	1225 	1225 	1225 	1225 	1225 	1225 
A,RD_EUR,KM,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	757 
A,RD_EUR,KM,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	588 	588 	588 	588 	: 	: 	: 
A,RD_EUR,KM,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	565 	564 	520 	520 	520 	584 	541 	541 	541 	541 	541 	548 	548 	: 	: 	548 	548 	553 	553 	553 	553 	553 	553 	553 	553 	553 	553 	553 	553 	553 	553 	553 	553 
A,RD_EUR,KM,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: z	0 	: 	: 	: 
