freq,unit,tra_infr,geo\TIME_PERIOD	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,KM,RD_PRO,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18278 d	18275 d	18297 d	18318 d	18326 d	18238 d	18224 d	18276 d	18176 d	18110 d	18097 d	18115 d	18048 	18088 	18117 d	18094 d	18117 	18160 d	18112 d	18053 d	18040 	17997 d	17983 d	17896 	17916 	17868 	17852 	17831 	17816 	17772 	17278 b	17228 	17227 
A,KM,RD_PRO,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2451 	2456 	2448 	2493 	2502 	2520 	2532 	2538 	2553 	2571 	2641 	2650 	2702 	2711 	2745 	2744 	2753 	2301 	2307 	2303 	2304 	2308 	2308 	2324 	2358 	2394 	2431 	2461 	2474 
A,KM,RD_PRO,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	48808 	48797 	48792 	48778 	48736 	48753 	48791 	48763 	48743 	48715 	48736 	48739 	48717 	48727.272 	48692 	48674 	48666 	48685 	48692 	48734 
A,KM,RD_PRO,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	131981 	132296 	132350 	132815 	133074 	133362 	133518 	133673 	133776 	133823 	133976 	173053 d	173204 d	173623 d	174125 d	175691 d	175970 	178343 	178346 	177852 	177899 	177780 	177834 	178298 	178237 	178324 	178134 	178117 	178172 	178151 	178269 	178253 	178184 	178034 	178071 	178281 	178786 	178906 	178876 	178806 	178751 	178703 	178622 	178574 
A,KM,RD_PRO,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	6840 	6897 	6925 	6951 	6948 	6990 	7049 	7082 	7089 	7089 	: 	7037 	7102 	7056 	7017 	7053 	7050 	7043 	9941 	9949 	9955 	9986 	9988 	9952 	: 	: 	: 	9701 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,KM,RD_PRO,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29071 	29071 	28833 	28800 	27754.3 	33049.5 	34005.5 	34977.3 	35603.4 	36441 	37188 	37209 	38052 	38077 	38489 	38777 	41930 u	23514 d	23647 u	23901 u	23939 u	23955 	23833 	23944 	23970 	24002 	24060 	23920 	23515 	23614 
A,KM,RD_PRO,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	28375 	28586 	28699 	28586 	28690 	31277 	31272 	31292 	31290 	31301 	31235 	31235 	31228 	31228 	29107 	29107 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KM,RD_PRO,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5863 	7172 	70742 	74734 	74759 	74474 	71266 	71114 	71063 	71502 	70397 	70626 	71547 	71377 d	70905 	71095 	69373 	69521 	69259 d	69167 d	67969 d	68644 	68826 	68744 d	68974 d	68576 d	68292 d	68241 d	68595 d	68860 d	68384 d	67972 	68194 	68113 	68055 	68068 	68051 	67904.291 	68034 	68386 	: 
A,KM,RD_PRO,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 	: 	: 	: 
A,KM,RD_PRO,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	346000 	347000 	347000 	347000 	347000 	347000 	347000 	347000 	352000 	352000 	352000 	352000 	353000 	354000 	354000 	365607 	360000 	358900 	358380 	358580 	359090 	359055 	359231 	359597 	359644 	359955 	: 	377205 	377377 	377984 	377986 	377769 	377857 	377965 	381470.178 	381130.977 	381721.449 	381319.137 	377889.930 	378479.045 	378693.067 	378834.269 	378906.225 	379218.465 
A,KM,RD_PRO,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10085 	7593 	7588 	7588 	7588 	7588 	7588 	10193 	10193 	10403 	10499 	10510 	10544 	10544 	10544 	10544 	10544 	10544 	10904 	10939 	10936 	10967 	9809 	9720 	9628 	9640 	9504 	9521 	9545 	9523 	9456 	9422 	9410 
A,KM,RD_PRO,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	53565 	53749 	: 	: 	: 	: 	166170.4 	166141 	167939.3 	169263 	170249.2 	171549.500 	172074.200 	172957.100 	174599.350 	178809.300 	181230.230 	181637 	183155.620 	183988.570 	185758.910 
A,KM,RD_PRO,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10566 	10566 	10726 	10726 	10726 	10600 	10700 	11690 	11690 	11628 	11628 	11628 	11690 	11607 	11645 	11645 	11645 	11631 	11631 	11631 	11631 e	11631 	11631 	11631 p	11631 	13120 	13120 	13120 	13120 	13120 p	13120 	13382 	13382 
A,KM,RD_PRO,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3097 	3122 	3124 	3173 	3042 	3129 	3259 	2375 	2349 	3874 d	3907 d	3898 d	3897 d	3929 d	3962 d	3936 d	3964 e	4006 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KM,RD_PRO,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	101681 	102057 	104219 	104272 	104670 	105739 	106323 	106850 	109027 	109894 	110468 	111304 	110475 	112875 	113353 	113349 	114442 	113924 	113790 	115125 	115222 	114691 	115180 	143468 	149106 	151570 	147364 	147364 	156258 	157785 	154513 d	158895 	151583 	153588 	154948 	155662 	155668 	155247 	142139 	135691 	137283 	132626 	131011 	: 
A,KM,RD_PRO,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	139 	103 	103 	103 	103 	103 	103 
A,KM,RD_PRO,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22903 	23617 	27070 	30893 	35855 	36666 	40238 	43240 	45987 	46828 	48451 	49475 	55813 	57560 	57986 	58169 	58659 	59394 d	59710 d	60062 d	60864 d	61653 d	62923 	63214 	63782 	63684 	62485 	63076 	64334 	63848 	63532 	63655 	63018 
A,KM,RD_PRO,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	1959 	1959 	1959 	1959 	1959 	1959 	1959 	1962 	1962 	1828 	1828 	1828 	1828 	1828 	1828 	1828 	: 	: 	: 	1911 d	1911 d	1891 d	1891 d	: 	: 	: 	: 	: 	: 	: 	1910 	: 	: 	1891 	1891 	1891 	1891 	1891 	1891 	1891 	1891 	1891 	1877 	1877 
A,KM,RD_PRO,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12312 	13534 	39640 	30000 	30804 	31274 	31619 	32365 	32481 	33042 	33109 	32873 	31787 	31475 	31577 	31432 	31379 	31100 	31382 	30742 	30649 	30453 	30493 	30439 	30183 	30169 	30088 	30147 	29975 	29861 	28967 	29514 
A,KM,RD_PRO,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3624 	3589 	3582 	3590 	3557 
A,KM,RD_PRO,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6843 	6968 	7256 	7467 	: 	: 	: 
A,KM,RD_PRO,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2822 	2822 	2827 	2988 	2916 	3058 	3058 	3404 	3461 	3461 	3542 	3643 	3623 	: 	: 	3806 	3830 	3774 	3771 	3771 	3771 	3772 	3772 	3778 	3778 	3778 	3778 	3778 	3779 	3790 	3794 	3794 	3794 
A,KM,RD_PRO,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1167 	1167 	: 	: 	1422 	1439 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	0 	0 	: 	: 	: 
A,KM,RD_PRO,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	8625 	8691 	8705 	8724 	: 	8647 	: 	: 	: 	7145 	7170 	7082 	: 	7047 	: 	: 	6910 	: 	7192 	: 	: 	: 	7885 	7866 	7856 	7799 	6882 	6878 	6944 	6834 	6804 	6812 	6794 d	6719 d	7778 	7749 	7738 	7759 	7757 	7745 	7813 	7817 	7905 	7934 
