freq,unit,expend,geo\TIME_PERIOD	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,INF_INV,HR	: 	: 	: 	149 	534 	520 	317 	912 	2418 	985 	1268 	1579 	1828 	1793 	1132 	1160 	1216 	1055 	1421 	1578 	1403 	424.221 	279.524 	238.386 	197.390 	196.551 	285.514 	354.813 	442.004 	537.033 	470.876 
A,MIO_EUR,INF_INV,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	377.487 	1033.186 	1027.732 	617.856 	1064.669 	1615.087 	1983.228 	1602.921 	1646.391 	1258.013 
A,MIO_EUR,INF_INV,IE	1055 	8607 	10861 	: 	: 	123 	130 	143 	102 	51 	52 	53 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,INF_INV,IS	: 	: 	: 	: 	: 	3307 	3595 	3757 	4152 	4188 	4401 	4251 	2562 e	2625 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	156.350 	: 
A,MIO_EUR,INF_INV,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7195 	2841 	3860 	5150 	3755 	3409 	6555 	4310 	4393 	: 	: 
A,MIO_EUR,INF_INV,LT	: 	: 	: 	60 	1264 	165 	1811 	1928 	225 	265 	370 	421 	421 	432 	3759 	4186 	4872 	358 	3583 	403 	3804 	1376.900 	330.300 	435.800 	541.800 	497.700 	367.200 	466.200 	643.800 	501.800 	553.700 
A,MIO_EUR,INF_INV,LU	: 	: 	: 	: 	: 	: 	: 	: 	258 	309 	331 	431 	32 	349 	242 	231 	268 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,INF_INV,LV	: 	: 	: 	74 	169 	236 	39 	47 	245 	218 	221 	407 d	557 	563 	9046 	14787 	15751 	9439 	85 	886 	925 	150.569 	187.790 	202.800 	189.840 	226.260 	221.360 	222.570 	198.400 	201.400 	196.200 
A,MIO_EUR,INF_INV,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.930 	34 	41 	41 	: 	: 	: 
A,MIO_EUR,INF_INV,MK	: 	: 	: 	155 	154 	131 	: 	: 	: 	926 	1113 	: 	: 	387 	225 	831 	828 	749 	: 	: 	: 	: 	: 	: 	228.637 	195.064 	156.963 	232.271 	164.487 	191.635 	192.461 p
